Seq	Start	Stop
DS022300.1	1012752	1027530
DS022300.1	1081890	1097153
DS022301.1	15145	24395
DS022301.1	1650622	1664965
DS022302.1	692174	706871
DS022302.1	1464563	1479318
DS022303.1	59448	75509
DS022303.1	409191	424098
DS022303.1	1705766	1728874
DS022304.1	123425	133344
DS022304.1	1673098	1682628
DS022305.1	366898	383751
DS022305.1	1050942	1061342
DS022305.1	1135110	1163491
DS022305.1	1302155	1311984
DS022306.1	287879	305375
DS022306.1	344696	362308
DS022306.1	459395	474969
DS022306.1	1312168	1329237
DS022307.1	864471	881939
DS022307.1	886047	899278
DS022307.1	939841	956354
DS022311.1	374231	386009
DS022311.1	888532	897004
DS022313.1	266364	283546
DS022313.1	295287	315568
DS022313.1	446381	477550
DS022313.1	516482	526728
DS022314.1	515358	528258
DS022315.1	358969	371067
DS022318.1	24373	56327
